Overall average response time: 0.0085 seconds
Overall average response time: 0.0085 seconds
Overall average response time: 0.0087 seconds
05/05/2024 10:58:50 | Average: 0.00122405219078064 | Min: 0.0004955450693766276 | Max: 0.0021448691685994467 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:05:37 | Average: 0.0014937689304351798 | Min: 0.0003880580266316732 | Max: 0.0023043235143025715 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:12:26 | Average: 0.0011504848798116044 | Min: 0.0004704157511393229 | Max: 0.0018071413040161132 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:21:17 | Average: 0.001042758067448934 | Min: 0.000255584716796875 | Max: 0.0017878611882527669 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:27:43 | Average: 0.0011477596759796147 | Min: 0.0006444692611694336 | Max: 0.0022239049275716146 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:34:26 | Average: 0.0010845243930816648 | Min: 0.0003913164138793945 | Max: 0.001790022850036621 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:40:43 | Average: 0.0010092720190684 | Min: 0.0003798484802246094 | Max: 0.001533977190653483 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:47:13 | Average: 0.0010714899698893226 | Min: 0.0005700588226318359 | Max: 0.0018779357274373372 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:53:45 | Average: 0.0010471639633178717 | Min: 0.000443426767985026 | Max: 0.0017098188400268555 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 11:58:06 | Average: 0.0010334835847218829 | Min: 0.0003742297490437826 | Max: 0.0019916454950968427 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:02:50 | Average: 0.0008691511948903402 | Min: 0.0003214120864868164 | Max: 0.0018665711085001627 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:08:02 | Average: 0.0008901903629302981 | Min: 0.00028378963470458983 | Max: 0.0017076651255289713 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:11:43 | Average: 0.0008484014670054118 | Min: 0.0003086566925048828 | Max: 0.001598079999287923 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:15:43 | Average: 0.0008845956325531007 | Min: 0.00030098756154378257 | Max: 0.0014861504236857097 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:19:58 | Average: 0.0008616236845652263 | Min: 0.0002799034118652344 | Max: 0.0017584721247355143 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:23:23 | Average: 0.0009190404415130617 | Min: 0.0003391106923421224 | Max: 0.00137481689453125 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:33:11 | Average: 0.0009654182275136312 | Min: 0.00034288565317789715 | Max: 0.001862772305806478 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:47:35 | Average: 0.0009372710227966305 | Min: 0.00032212734222412107 | Max: 0.0024950822194417317 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 12:56:04 | Average: 0.0008532528877258303 | Min: 0.00030362606048583984 | Max: 0.0018901983896891276 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 13:07:40 | Average: 0.0009252178351084391 | Min: 0.00027785301208496096 | Max: 0.0030852794647216798 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 13:15:34 | Average: 0.0019476131384400127 | Min: 0.00033679008483886717 | Max: 0.06197380197459254 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 13:36:04 | Average: 0.00175832945505778 | Min: 0.0005908568700154622 | Max: 0.003411277135213216 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 13:43:33 | Average: 0.0017529614607493097 | Min: 0.000617520014444987 | Max: 0.004159418741861979 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 14:42:37 | Average: 0.0008580274899800605 | Min: 0.00031304359436035156 | Max: 0.0018463770548502604 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 14:53:43 | Average: 0.00086974892616272 | Min: 0.0003230015436808268 | Max: 0.0017022927602132162 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 14:59:22 | Average: 0.0009361580689748131 | Min: 0.0003542900085449219 | Max: 0.002219374974568685 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 15:19:26 | Average: 0.0012272186120351161 | Min: 0.0005490938822428385 | Max: 0.0024151007334391275 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 15:28:09 | Average: 0.001074337339401245 | Min: 0.0003246386845906576 | Max: 0.0022601842880249023 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 15:41:04 | Average: 0.0008453389644622807 | Min: 0.0003389755884806315 | Max: 0.0016223271687825522 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 15:52:05 | Average: 0.0008684008916219075 | Min: 0.0003529071807861328 | Max: 0.0016461451848347982 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 16:00:54 | Average: 0.00091042062971327 | Min: 0.0003529866536458333 | Max: 0.0018988768259684244 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 16:07:48 | Average: 0.0010255766312281282 | Min: 0.0004334608713785807 | Max: 0.0018103361129760743 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 16:10:39 | Average: 0.001015156825383504 | Min: 0.0004254659016927083 | Max: 0.001497968037923177 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 16:14:28 | Average: 0.0008919868866602578 | Min: 0.000364383061726888 | Max: 0.0017693758010864258 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 16:18:47 | Average: 0.0009151833852132161 | Min: 0.00035535494486490886 | Max: 0.0015125433603922526 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 17:00:16 | Average: 0.001068047221501669 | Min: 0.00033863385518391925 | Max: 0.0033939282099405923 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 18:42:24 | Average: 0.0013359622160593674 | Min: 0.00042534669240315754 | Max: 0.007627503077189127 | for 50 clients | run_time: 0.1 | probe_freq: 20
05/05/2024 18:51:48 | Average: 0.001094110409418742 | Min: 0.0004723628362019857 | Max: 0.0022672017415364585 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 10:31:30 | Average: 0.00174919072786967 | Min: 0.0007779359817504883 | Max: 0.0026442766189575194 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 10:48:59 | Average: 0.0012721553007761636 | Min: 0.00035835901896158853 | Max: 0.0029766162236531577 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 15:21:02 | Average: 0.0012099287509918211 | Min: 0.0004502375920613607 | Max: 0.0029682238896687825 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 15:26:33 | Average: 0.0011627671321233107 | Min: 0.00034691492716471353 | Max: 0.0035138289133707684 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 15:30:55 | Average: 0.0009901086489359542 | Min: 0.0003312428792317708 | Max: 0.003275346755981445 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 15:42:26 | Average: 0.0014170630971590678 | Min: 0.00040473143259684243 | Max: 0.0042009115219116214 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 15:51:08 | Average: 0.0009771738529205322 | Min: 0.0003387610117594401 | Max: 0.002627404530843099 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 16:00:36 | Average: 0.001266676314671833 | Min: 0.0003732601801554362 | Max: 0.0034286896387736004 | for 50 clients | run_time: 0.1 | probe_freq: 20
06/05/2024 16:05:36 | Average: 0.0011150139768918352 | Min: 0.00030545393625895184 | Max: 0.0025167942047119142 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 19:22:46 | Average: 0.0011793015003204344 | Min: 0.00026160081227620443 | Max: 0.003375379244486491 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 20:03:41 | Average: 0.0013409670193990073 | Min: 0.0004337867101033529 | Max: 0.0033519506454467774 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 20:36:01 | Average: 0.0013015418052673335 | Min: 0.0003030220667521159 | Max: 0.004309757550557455 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 20:46:12 | Average: 0.001304691791534424 | Min: 0.0005011399586995443 | Max: 0.0027873992919921877 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 22:11:57 | Average: 0.013996536783908022 | Min: 0.0003827969233194987 | Max: 0.25374268492062885 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 22:45:43 | Average: 0.0010721955299377443 | Min: 0.0004881779352823893 | Max: 0.0015149513880411785 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 22:50:50 | Average: 0.006324841253297691 | Min: 0.0003962119420369466 | Max: 0.14252361544856318 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 22:54:33 | Average: 0.011239712076618072 | Min: 0.000504310925801595 | Max: 0.2559712429841359 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 23:08:25 | Average: 0.007386583912527009 | Min: 0.00039439996083577474 | Max: 0.11272000383447718 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 23:11:46 | Average: 0.0022490615104806826 | Min: 0.0006755590438842773 | Max: 0.06192018245828563 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 23:25:26 | Average: 0.00045361121495564755 | Min: 0.00015339056650797526 | Max: 0.0019080718358357748 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 23:33:52 | Average: 0.00022607930501302082 | Min: 0.0001249074935913086 | Max: 0.0005086819330851237 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 23:38:21 | Average: 0.00020626608530680327 | Min: 0.000118255615234375 | Max: 0.0004996697107950847 | for 50 clients | run_time: 0.1 | probe_freq: 20
14/05/2024 23:55:50 | Average: 0.0004245100816090902 | Min: 0.00022678375244140626 | Max: 0.0010359605153401692 | for 50 clients | run_time: 0.1 | probe_freq: 20
15/05/2024 00:07:11 | Average: 0.000386993646621704 | Min: 0.0001613457997639974 | Max: 0.0007852395375569661 | for 50 clients | run_time: 0.1 | probe_freq: 20
15/05/2024 00:13:26 | Average: 0.00047630945841471364 | Min: 0.00020208358764648438 | Max: 0.0016802390416463216 | for 50 clients | run_time: 0.1 | probe_freq: 20
